index;size_of_lists
0;2
1;0
2;1
3;0
4;1
5;1
6;0
7;0
8;0
9;0
10;1
11;2
12;0
13;0
14;0
15;0
16;3
17;3
18;0
19;0
20;0
21;0
22;0
23;2
24;0
25;0
26;1
27;0
28;1
29;0
30;1
31;2
32;2
33;1
34;5
35;0
36;1
37;3
38;2
39;3
40;4
41;2
42;2
43;1
44;2
45;4
46;0
47;1
48;0
49;1
50;4
51;2
52;1
53;2
54;0
55;2
56;2
57;1
58;1
59;0
60;0
61;0
62;2
63;2
64;0
65;3
66;2
67;2
68;1
69;0
70;2
71;1
72;2
73;3
74;2
75;4
76;2
77;4
78;3
79;2
80;2
81;0
82;2
83;1
84;2
85;1
86;1
87;2
88;2
89;1
90;2
91;0
92;3
93;1
94;2
95;0
96;1
97;2
98;0
99;3
100;4
101;2
102;0
103;1
104;1
105;2
106;1
107;1
108;1
109;2
110;1
111;3
112;1
113;2
114;0
115;3
116;3
117;1
118;2
119;1
120;2
121;2
122;0
123;1
124;1
125;0
126;0
127;1
128;0
129;0
130;2
131;0
132;1
133;1
134;0
135;3
136;0
137;3
138;1
139;0
140;1
141;0
142;2
143;2
144;3
145;1
146;1
147;0
148;3
149;1
150;2
151;1
152;1
153;2
154;1
155;1
156;0
157;3
158;3
159;1
160;3
161;0
162;0
163;1
164;1
165;1
166;1
167;1
168;1
169;2
170;1
171;0
172;0
173;0
174;0
175;2
176;1
177;1
178;3
179;1
180;0
181;1
182;0
183;0
184;1
185;0
186;1
187;0
188;1
189;0
190;0
191;1
192;0
193;0
194;0
195;1
196;1
197;0
198;1
199;2
200;1
201;1
202;0
203;1
204;2
205;1
206;0
207;0
208;0
209;1
210;0
211;1
212;0
213;1
214;2
215;1
216;2
217;0
218;1
219;0
220;1
221;3
222;0
223;2
224;3
225;1
226;0
227;1
228;1
229;0
230;0
231;2
232;1
233;0
234;1
235;0
236;1
237;0
238;0
239;2
240;2
241;2
242;0
243;3
244;0
245;1
246;0
247;2
248;1
249;1
250;0
251;2
252;1
253;3
254;1
255;0
256;0
257;1
258;2
259;2
260;0
261;0
262;2
263;0
264;2
265;0
266;0
267;0
268;0
269;1
270;3
271;1
272;1
273;3
274;0
275;1
276;3
277;3
278;2
279;0
280;0
281;0
282;0
283;2
284;4
285;1
286;1
287;3
288;1
289;1
290;1
291;0
292;0
293;1
294;2
295;1
296;0
297;1
298;0
299;1
300;0
301;0
302;1
303;1
304;4
305;2
306;1
307;0
308;1
309;0
310;2
311;0
312;2
313;0
314;4
315;1
316;0
317;0
318;0
319;1
320;4
321;1
322;1
323;2
324;0
325;0
326;0
327;1
328;2
329;0
330;1
331;0
332;2
333;0
334;2
335;2
336;1
337;1
338;3
339;2
340;2
341;3
342;0
343;1
344;1
345;2
346;0
347;1
348;2
349;0
350;0
351;2
352;1
353;3
354;0
355;0
356;1
357;1
358;3
359;1
360;1
361;1
362;2
363;0
364;1
365;2
366;2
367;5
368;2
369;0
370;2
371;1
372;1
373;1
374;0
375;0
376;0
377;2
378;0
379;1
380;3
381;2
382;1
383;1
384;0
385;0
386;2
387;2
388;1
389;0
390;1
391;1
392;0
393;0
394;0
395;1
396;1
397;2
398;0
399;3
400;1
401;2
402;1
403;3
404;1
405;1
406;1
407;3
408;1
409;0
410;0
411;0
412;1
413;0
414;2
415;0
416;3
417;1
418;0
419;0
420;4
421;2
422;1
423;3
424;4
425;1
426;2
427;1
428;0
429;2
430;1
431;1
432;0
433;0
434;1
435;2
436;1
437;1
438;1
439;2
440;1
441;2
442;3
443;1
444;1
445;1
446;0
447;1
448;1
449;0
450;2
451;1
452;0
453;1
454;2
455;2
456;0
457;1
458;0
459;0
460;3
461;1
462;3
463;1
464;3
465;0
466;0
467;1
468;2
469;1
470;1
471;2
472;0
473;0
474;0
475;0
476;2
477;2
478;1
479;1
480;2
481;1
482;2
483;1
484;3
485;1
486;0
487;3
488;2
489;2
490;0
491;0
492;1
493;2
494;0
495;1
496;0
497;0
498;2
499;0
500;1
501;2
502;2
503;1
504;1
505;3
506;1
507;0
508;1
509;1
510;1
511;1
512;0
513;2
514;0
515;3
516;1
517;2
518;0
519;0
520;2
521;1
522;0
523;1
524;0
525;0
526;2
527;2
528;1
529;0
530;1
531;1
532;0
533;1
534;1
535;3
536;0
537;1
538;0
539;2
540;2
541;1
542;0
543;0
544;1
545;1
546;0
547;0
548;1
549;0
550;1
551;1
552;0
553;1
554;1
555;1
556;1
557;2
558;2
559;0
560;1
561;2
562;2
563;0
564;1
565;0
566;0
567;0
568;1
569;3
570;1
571;1
572;0
573;0
574;0
575;1
576;1
577;0
578;1
579;1
580;1
581;2
582;0
583;1
584;1
585;0
586;1
587;0
588;0
589;1
590;2
591;1
592;1
593;1
594;2
595;0
596;0
597;0
598;1
599;4
600;2
601;0
602;2
603;1
604;1
605;2
606;0
607;1
608;0
609;2
610;0
611;0
612;0
613;1
614;1
615;1
616;2
617;1
618;3
619;1
620;2
621;2
622;1
623;3
624;3
625;1
626;8
627;2
628;2
629;2
630;0
631;0
632;2
633;4
634;1
635;2
636;2
637;1
638;1
639;1
640;2
641;2
642;0
643;1
644;2
645;0
646;1
647;1
648;1
649;2
650;2
651;3
652;1
653;2
654;1
655;0
656;0
657;0
658;0
659;1
660;0
661;1
662;0
663;1
664;1
665;2
666;0
667;2
668;1
669;2
670;1
671;0
672;1
673;1
674;2
675;1
676;0
677;0
678;0
679;2
680;3
681;0
682;0
683;2
684;0
685;2
686;0
687;1
688;2
689;2
690;1
691;2
692;0
693;0
694;0
695;0
696;2
697;0
698;2
699;0
700;2
701;3
702;0
703;2
704;2
705;2
706;0
707;0
708;1
709;0
710;0
711;1
712;1
713;1
714;1
715;3
716;0
717;1
718;3
719;1
720;1
721;2
722;1
723;0
724;0
725;0
726;0
727;2
728;3
729;2
730;0
731;0
732;2
733;0
734;1
735;2
736;3
737;0
738;1
739;0
740;1
741;2
742;3
743;0
744;1
745;1
746;0
747;0
748;1
749;0
750;0
751;2
752;3
753;0
754;0
755;2
756;0
757;1
758;2
759;2
760;0
761;0
762;1
763;1
764;2
765;1
766;3
767;2
768;0
769;2
770;2
771;1
772;2
773;1
774;1
775;0
776;0
777;0
778;1
779;1
780;0
781;1
782;1
783;1
784;0
785;1
786;0
787;2
788;1
789;0
790;1
791;1
792;1
793;0
794;0
795;0
796;1
797;1
798;1
799;1
800;1
801;1
802;1
803;1
804;1
805;1
806;1
807;2
808;0
809;1
810;3
811;2
812;1
813;1
814;1
815;1
816;2
817;1
818;3
819;0
820;1
821;0
822;1
823;1
824;2
825;0
826;0
827;1
828;1
829;2
830;0
831;0
832;0
833;0
834;1
835;0
836;0
837;1
838;1
839;2
840;1
841;2
842;6
843;1
844;1
845;2
846;0
847;2
848;2
849;0
850;1
851;0
852;5
853;0
854;1
855;0
856;1
857;2
858;2
859;2
860;2
861;0
862;2
863;3
864;2
865;0
866;1
867;2
868;1
869;1
870;4
871;0
872;0
873;0
874;1
875;2
876;0
877;0
878;1
879;0
880;1
881;1
882;1
883;3
884;1
885;3
886;0
887;2
888;1
889;1
890;0
891;0
892;2
893;2
894;0
895;0
896;0
897;1
898;2
899;0
900;0
901;1
902;0
903;0
904;2
905;0
906;0
907;2
908;1
909;1
910;0
911;2
912;1
913;1
914;1
915;0
916;1
917;2
918;1
919;2
920;0
921;3
922;2
923;1
924;3
925;1
926;3
927;0
928;2
929;4
930;2
931;0
932;2
933;0
934;3
935;0
936;0
937;3
938;1
939;2
940;3
941;4
942;2
943;0
944;0
945;2
946;0
947;1
948;1
949;3
950;0
951;0
952;3
953;3
954;0
955;0
956;1
957;0
958;0
959;1
960;1
961;0
962;2
963;0
964;2
965;1
966;2
967;1
968;0
969;3
970;0
971;0
972;1
973;5
974;0
975;0
976;0
977;1
978;2
979;3
980;2
981;0
982;1
983;1
984;1
985;2
986;1
987;0
988;2
989;0
990;0
991;3
992;1
993;1
994;1
995;1
996;3
997;1
998;1
999;0
1000;1
1001;1
1002;1
1003;2
1004;2
1005;4
1006;2
1007;2
1008;0
1009;1
1010;1
1011;2
1012;3
1013;0
1014;2
1015;0
1016;0
1017;0
1018;1
1019;1
1020;0
1021;2
1022;1
1023;1
1024;0
1025;0
1026;0
1027;1
1028;1
1029;1
1030;3
1031;0
1032;3
1033;1
1034;0
1035;0
1036;1
1037;3
1038;0
1039;1
1040;1
1041;0
1042;1
1043;0
1044;2
1045;3
1046;0
1047;0
1048;3
1049;0
1050;0
1051;0
1052;0
1053;1
1054;4
1055;3
1056;3
1057;0
1058;3
1059;3
1060;2
1061;0
1062;1
1063;0
1064;4
1065;1
1066;4
1067;2
1068;2
1069;1
1070;5
1071;0
1072;1
1073;3
1074;1
1075;0
1076;2
1077;3
1078;0
1079;2
1080;0
1081;1
1082;0
1083;2
1084;0
1085;1
1086;0
1087;0
1088;3
1089;3
1090;0
1091;2
1092;1
1093;2
1094;1
1095;0
1096;1
1097;1
1098;0
1099;2
1100;1
1101;1
1102;2
1103;1
1104;0
1105;0
1106;1
1107;0
1108;0
1109;0
1110;3
1111;0
1112;0
1113;0
1114;1
1115;1
1116;2
1117;1
1118;1
1119;0
1120;0
1121;0
1122;3
1123;1
1124;2
1125;0
1126;3
1127;1
1128;0
1129;1
1130;0
1131;1
1132;0
1133;0
1134;2
1135;2
1136;1
1137;3
1138;1
1139;2
1140;0
1141;1
1142;0
1143;3
1144;0
1145;2
1146;0
1147;0
1148;1
1149;1
1150;0
1151;0
1152;0
1153;2
1154;3
1155;0
1156;1
1157;2
