index;size_of_lists
0;2
1;0
2;0
3;1
4;0
5;3
6;2
7;2
8;0
9;0
10;0
11;0
12;1
13;1
14;2
15;0
16;2
17;0
18;1
19;0
20;1
21;1
22;1
23;2
24;0
25;0
26;1
27;1
28;0
29;1
30;1
31;1
32;1
33;0
34;0
35;2
36;1
37;1
38;2
39;0
40;1
41;4
42;0
43;2
44;1
45;0
46;0
47;1
48;1
49;3
50;0
51;0
52;3
53;1
54;1
55;1
56;2
57;0
58;2
59;4
60;0
61;2
62;3
63;2
64;2
65;0
66;1
67;0
68;3
69;2
70;3
71;0
72;0
73;0
74;2
75;0
76;1
77;2
78;1
79;0
80;0
81;1
82;0
83;2
84;0
85;1
86;3
87;0
88;1
89;2
90;0
91;1
92;1
93;1
94;1
95;1
96;1
97;0
98;0
99;0
100;1
101;2
102;3
103;1
104;1
105;2
106;0
107;1
108;2
109;0
110;1
111;1
112;2
113;2
114;1
115;1
116;2
117;1
118;2
119;3
120;1
121;1
122;2
123;2
124;0
125;1
126;0
127;0
128;2
129;2
130;0
131;2
132;2
133;2
134;0
135;3
136;0
137;0
138;0
139;2
140;1
141;2
142;1
143;0
144;1
145;2
146;3
147;0
148;2
149;2
150;1
151;2
152;3
153;1
154;0
155;1
156;0
157;2
158;2
159;2
160;1
161;0
162;1
163;1
164;1
165;1
166;3
167;0
168;0
169;3
170;2
171;0
172;2
173;1
174;1
175;0
176;1
177;1
178;0
179;0
180;1
181;0
182;1
183;1
184;0
185;0
186;1
187;0
188;1
189;3
190;0
191;1
192;0
193;1
194;2
195;0
196;3
197;3
198;0
199;1
200;0
201;3
202;0
203;0
204;2
205;0
206;0
207;1
208;2
209;0
210;0
211;0
212;1
213;2
214;1
215;1
216;1
217;1
218;2
219;2
220;2
221;0
222;0
223;0
224;1
225;1
226;1
227;1
228;0
229;2
230;1
231;0
232;1
233;0
234;0
235;3
236;0
237;0
238;1
239;3
240;2
241;2
242;2
243;0
244;1
245;0
246;1
247;2
248;0
249;1
250;1
251;2
252;0
253;0
254;2
255;2
256;1
257;1
258;1
259;4
260;2
261;2
262;0
263;0
264;0
265;2
266;0
267;0
268;0
269;4
270;2
271;0
272;2
273;4
274;1
275;3
276;3
277;2
278;1
279;1
280;0
281;1
282;1
283;0
284;2
285;1
286;0
287;0
288;4
289;0
290;1
291;0
292;1
293;1
294;1
295;0
296;0
297;0
298;0
299;1
300;0
301;0
302;0
303;1
304;1
305;0
306;0
307;1
308;0
309;3
310;1
311;0
312;1
313;2
314;1
315;0
316;0
317;1
318;0
319;0
320;3
321;1
322;2
323;1
324;1
325;3
326;0
327;2
328;0
329;2
330;1
331;2
332;0
333;2
334;0
335;1
336;0
337;0
338;0
339;1
340;2
341;0
342;1
343;0
344;1
345;0
346;0
347;5
348;1
349;2
350;1
351;2
352;0
353;2
354;3
355;1
356;3
357;2
358;1
359;2
360;1
361;2
362;0
363;1
364;0
365;0
366;2
367;1
368;0
369;1
370;1
371;0
372;0
373;0
374;0
375;4
376;1
377;1
378;0
379;2
380;2
381;0
382;0
383;0
384;0
385;1
386;1
387;3
388;2
389;2
390;0
391;0
392;0
393;1
394;1
395;4
396;1
397;2
398;0
399;1
400;1
401;4
402;0
403;0
404;1
405;5
406;0
407;0
408;3
409;3
410;0
411;3
412;0
413;0
414;2
415;0
416;1
417;0
418;2
419;3
420;0
421;1
422;0
423;2
424;1
425;1
426;1
427;0
428;2
429;0
430;0
431;2
432;0
433;0
434;0
435;1
436;1
437;1
438;0
439;2
440;2
441;4
442;0
443;2
444;3
445;2
446;4
447;2
448;1
449;0
450;1
451;0
452;1
453;1
454;1
455;2
456;0
457;2
458;0
459;3
460;0
461;3
462;0
463;1
464;0
465;1
466;1
467;0
468;1
469;0
470;3
471;1
472;1
473;2
474;2
475;2
476;0
477;2
478;1
479;0
480;4
481;0
482;2
483;1
484;1
485;1
486;4
487;4
488;1
489;2
490;5
491;2
492;1
493;0
494;1
495;4
496;0
497;1
498;3
499;0
500;1
501;3
502;3
503;2
504;0
505;1
506;2
507;2
508;2
509;2
510;1
511;3
512;1
513;2
514;2
515;1
516;2
517;1
518;1
519;1
520;0
521;0
522;1
523;2
524;2
525;2
526;1
527;0
528;3
529;0
530;0
531;3
532;2
533;1
534;0
535;0
536;3
537;1
538;0
539;1
540;2
541;1
542;2
543;1
544;0
545;2
546;1
547;0
548;3
549;2
550;1
551;0
552;2
553;2
554;1
555;1
556;1
557;4
558;0
559;1
560;0
561;0
562;0
563;1
564;0
565;3
566;2
567;1
568;1
569;1
570;2
571;1
572;0
573;2
574;1
575;1
576;1
577;1
578;0
579;1
580;0
581;1
582;1
583;0
584;1
585;0
586;2
587;4
588;1
589;2
590;2
591;0
592;1
593;0
594;2
595;1
596;1
597;3
598;0
599;0
600;0
601;1
602;1
603;1
604;1
605;2
606;0
607;0
608;3
609;0
610;1
611;1
612;0
613;1
614;2
615;1
616;0
617;1
618;2
619;0
620;0
621;3
622;1
623;1
624;3
625;1
626;0
627;4
628;1
629;1
630;1
631;1
632;0
633;1
634;3
635;2
636;0
637;0
638;2
639;0
640;2
641;0
642;1
643;2
644;0
645;0
646;1
647;0
648;1
649;0
650;1
651;2
652;1
653;0
654;1
655;0
656;4
657;1
658;0
659;0
660;1
661;0
662;1
663;3
664;1
665;0
666;3
667;1
668;1
669;2
670;2
671;1
672;2
673;0
674;0
675;3
676;0
677;0
678;1
679;1
680;0
681;1
682;2
683;1
684;1
685;1
686;0
687;2
688;2
689;3
690;1
691;0
692;1
693;0
694;0
695;2
696;1
697;1
698;0
699;1
700;1
701;2
702;2
703;0
704;2
705;0
706;1
707;2
708;3
709;0
710;4
711;1
712;1
713;1
714;0
715;1
716;1
717;1
718;0
719;3
720;0
721;1
722;0
723;0
724;1
725;0
726;1
727;1
728;3
729;2
730;1
731;0
732;1
733;0
734;1
735;1
736;0
737;0
738;2
739;0
740;2
741;0
742;4
743;0
744;1
745;0
746;1
747;1
748;0
749;2
750;1
751;0
752;1
753;0
754;3
755;1
756;4
757;1
758;1
759;2
760;1
761;1
762;2
763;0
764;2
765;1
766;1
767;0
768;2
769;0
770;2
771;2
772;1
773;2
774;1
775;1
776;1
777;0
778;0
779;1
780;0
781;2
782;3
783;0
784;0
785;2
786;0
787;3
788;1
789;2
790;0
791;0
792;1
793;2
794;1
795;2
796;1
797;2
798;1
799;2
800;0
801;0
802;3
803;2
804;2
805;3
806;4
807;1
808;0
809;2
810;1
811;1
812;2
813;1
814;0
815;0
816;1
817;1
818;1
819;2
820;0
821;1
822;0
823;1
824;2
825;2
826;2
827;1
828;0
829;0
830;1
831;3
832;3
833;1
834;0
835;3
836;1
837;0
838;1
839;1
840;1
841;0
842;0
843;2
844;2
845;1
846;0
847;2
848;0
849;1
850;1
851;2
852;3
853;0
854;4
855;2
856;0
857;2
858;0
859;0
860;0
861;1
862;1
863;1
864;1
865;0
866;2
867;0
868;2
869;1
870;2
871;1
872;1
873;0
874;0
875;1
876;0
877;1
878;2
879;0
880;1
881;0
882;2
883;1
884;4
885;2
886;0
887;1
888;1
889;0
890;0
891;1
892;1
893;0
894;0
895;1
896;0
897;0
898;1
899;0
900;2
901;0
902;1
903;0
904;0
905;2
906;1
907;0
908;3
909;1
910;1
911;2
912;0
913;1
914;0
915;4
916;0
917;4
918;0
919;2
920;1
921;1
922;1
923;2
924;1
925;3
926;1
927;1
928;4
929;1
930;0
931;3
932;1
933;2
934;0
935;0
936;2
937;2
938;0
939;0
940;0
941;0
942;0
943;1
944;0
945;1
946;1
947;0
948;1
949;1
950;2
951;1
952;2
953;2
954;2
955;1
956;1
957;1
958;0
959;0
960;3
961;1
962;0
963;0
964;1
965;2
966;2
967;0
968;0
969;0
970;3
971;2
972;0
973;0
974;0
975;1
976;2
977;2
978;0
979;0
980;2
981;2
982;1
983;6
984;0
985;1
986;0
987;0
988;0
989;0
990;1
991;2
992;0
993;0
994;0
995;0
996;0
997;1
998;2
999;0
1000;1
1001;1
1002;0
1003;0
1004;3
1005;0
1006;3
1007;1
1008;1
1009;1
1010;0
1011;1
1012;1
1013;3
1014;2
1015;0
1016;1
1017;2
1018;2
1019;1
1020;1
1021;2
1022;1
1023;0
1024;4
1025;3
1026;0
1027;2
1028;2
1029;1
1030;2
1031;0
1032;3
1033;2
1034;0
1035;2
1036;1
1037;1
1038;1
1039;0
1040;4
1041;2
1042;1
1043;2
1044;2
1045;0
1046;2
1047;1
1048;0
1049;2
1050;2
1051;1
1052;1
1053;0
1054;0
1055;1
1056;0
1057;3
1058;1
1059;0
1060;3
1061;0
1062;1
1063;2
1064;1
1065;2
1066;0
1067;0
1068;0
1069;1
1070;0
1071;0
1072;1
1073;1
1074;1
1075;2
1076;7
1077;3
1078;3
1079;2
1080;3
1081;0
1082;1
1083;1
1084;3
1085;1
1086;3
1087;2
1088;1
1089;0
1090;1
1091;1
1092;0
1093;0
1094;2
1095;1
1096;0
1097;5
1098;0
1099;1
1100;1
1101;1
1102;0
1103;1
1104;1
1105;0
1106;0
1107;1
1108;1
1109;1
1110;0
1111;1
1112;2
1113;4
1114;0
1115;4
1116;2
1117;2
1118;1
1119;0
1120;0
1121;2
1122;1
1123;1
1124;2
1125;0
1126;1
1127;4
1128;1
1129;1
1130;3
1131;3
1132;1
1133;1
1134;0
1135;2
1136;2
1137;4
1138;1
1139;1
1140;1
1141;1
1142;1
1143;1
1144;2
1145;0
1146;0
1147;3
1148;1
1149;1
1150;2
1151;0
1152;0
1153;1
1154;1
1155;0
1156;3
1157;0
