index;size_of_lists
0;0
1;0
2;2
3;2
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;1
12;0
13;0
14;1
15;1
16;0
17;0
18;0
19;0
20;0
21;0
22;1
23;0
24;1
25;0
26;0
27;0
28;1
29;1
30;1
31;0
32;0
33;0
34;0
35;0
36;2
37;1
38;2
39;1
40;0
41;0
42;0
43;0
44;1
45;1
46;0
47;1
48;0
49;2
50;2
51;1
52;1
53;2
54;1
55;1
56;1
57;1
58;1
59;2
60;0
61;0
62;2
63;1
64;1
65;2
66;3
67;2
68;1
69;0
70;1
71;1
72;0
73;1
74;3
75;2
76;0
77;2
78;3
79;4
80;0
81;1
82;1
83;3
84;4
85;2
86;1
87;1
88;2
89;0
90;2
91;1
92;1
93;3
94;1
95;2
96;2
97;1
98;1
99;1
100;3
101;1
102;1
103;1
104;0
105;0
106;2
107;0
108;0
109;3
110;1
111;3
112;2
113;1
114;0
115;2
116;2
117;1
118;1
119;1
120;1
121;1
122;0
123;0
124;0
125;0
126;1
127;0
128;0
129;2
130;0
131;0
132;0
133;0
134;2
135;1
136;0
137;2
138;0
139;2
140;0
141;2
142;0
143;2
144;1
145;0
146;1
147;0
148;1
149;2
150;1
151;2
152;1
153;1
154;1
155;0
156;1
157;1
158;0
159;0
160;0
161;4
162;2
163;2
164;1
165;0
166;2
167;2
168;0
169;2
170;0
171;1
172;3
173;0
174;0
175;3
176;1
177;2
178;0
179;1
180;2
181;3
182;2
183;1
184;2
185;0
186;0
187;1
188;1
189;1
190;0
191;2
192;0
193;2
194;2
195;0
196;1
197;1
198;0
199;1
200;1
201;2
202;1
203;3
204;0
205;1
206;0
207;0
208;1
209;0
210;1
211;1
212;2
213;0
214;2
215;2
216;1
217;1
218;0
219;3
220;0
221;3
222;0
223;2
224;1
225;5
226;0
227;2
228;1
229;1
230;2
231;3
232;1
233;2
234;2
235;0
236;2
237;0
238;2
239;0
240;1
241;1
242;0
243;1
244;3
245;1
246;2
247;0
248;1
249;1
250;1
251;0
252;3
253;2
254;2
255;1
256;3
257;3
258;5
259;2
260;3
261;5
262;3
263;2
264;1
265;5
266;3
267;2
268;0
269;4
270;1
271;2
272;4
273;4
274;3
275;3
276;3
277;2
278;12
279;1
280;2
281;1
282;3
283;3
284;2
285;3
286;3
287;5
288;2
289;3
290;3
291;1
292;4
293;4
294;2
295;3
296;3
297;3
298;2
299;2
300;5
301;2
302;5
303;4
304;3
305;1
306;4
307;4
308;2
309;3
310;7
311;2
312;1
313;2
314;3
315;1
316;5
317;4
318;3
319;4
320;0
321;2
322;0
323;1
324;0
325;0
326;1
327;0
328;1
329;1
330;1
331;1
332;1
333;2
334;0
335;5
336;0
337;2
338;0
339;0
340;1
341;0
342;0
343;1
344;0
345;0
346;1
347;1
348;2
349;1
350;2
351;0
352;0
353;1
354;2
355;3
356;2
357;2
358;3
359;3
360;1
361;0
362;2
363;0
364;3
365;2
366;0
367;3
368;1
369;1
370;1
371;1
372;3
373;2
374;0
375;1
376;0
377;5
378;3
379;2
380;1
381;1
382;3
383;1
384;1
385;1
386;0
387;2
388;2
389;5
390;1
391;0
392;0
393;2
394;0
395;0
396;2
397;2
398;2
399;4
400;1
401;3
402;3
403;1
404;0
405;0
406;1
407;1
408;2
409;1
410;0
411;3
412;2
413;0
414;0
415;3
416;2
417;1
418;3
419;1
420;1
421;2
422;2
423;2
424;1
425;0
426;4
427;1
428;2
429;1
430;1
431;1
432;1
433;1
434;1
435;1
436;3
437;1
438;3
439;1
440;0
441;0
442;0
443;1
444;3
445;2
446;0
447;1
448;0
449;1
450;0
451;1
452;2
453;2
454;0
455;0
456;2
457;1
458;0
459;1
460;2
461;2
462;0
463;2
464;2
465;1
466;0
467;0
468;0
469;0
470;0
471;1
472;1
473;1
474;1
475;1
476;1
477;1
478;3
479;0
480;2
481;4
482;0
483;3
484;1
485;2
486;4
487;1
488;0
489;0
490;1
491;0
492;1
493;1
494;2
495;0
496;0
497;1
498;0
499;0
500;1
501;1
502;0
503;0
504;1
505;1
506;0
507;2
508;1
509;0
510;2
511;2
512;2
513;4
514;2
515;3
516;3
517;3
518;2
519;1
520;2
521;2
522;1
523;2
524;3
525;1
526;3
527;2
528;1
529;1
530;3
531;2
