index;size_of_lists
0;1
1;1
2;2
3;2
4;1
5;0
6;0
7;1
8;0
9;2
10;1
11;1
12;1
13;0
14;0
15;1
16;1
17;0
18;0
19;1
20;0
21;0
22;1
23;0
24;0
25;0
26;0
27;0
28;0
29;1
30;0
31;0
32;3
33;2
34;0
35;0
36;0
37;0
38;1
39;0
40;1
41;1
42;0
43;0
44;0
45;1
46;1
47;1
48;2
49;1
50;2
51;1
52;1
53;1
54;0
55;1
56;0
57;0
58;0
59;0
60;0
61;0
62;1
63;0
64;10
65;8
66;8
67;17
68;11
69;8
70;12
71;11
72;12
73;6
74;6
75;8
76;14
77;13
78;12
79;14
80;14
81;13
82;11
83;17
84;8
85;12
86;12
87;7
88;14
89;5
90;7
91;16
92;8
93;9
94;6
95;7
96;0
97;3
98;1
99;3
100;2
101;2
102;2
103;1
104;1
105;0
106;0
107;0
108;0
109;1
110;0
111;1
112;2
113;0
114;1
115;2
116;3
117;1
118;2
119;2
120;2
121;0
122;0
123;0
124;1
125;0
126;0
127;0
128;2
129;0
130;1
131;2
132;1
133;3
134;0
135;0
136;0
137;1
138;1
139;0
140;0
141;1
142;2
143;0
144;6
145;1
146;2
147;0
148;1
149;0
150;0
151;0
152;1
153;0
154;3
155;0
156;0
157;0
158;1
159;0
160;0
161;1
162;1
163;2
164;0
165;0
166;0
167;2
168;0
169;0
170;0
171;0
172;1
173;0
174;0
175;0
176;2
177;1
178;0
179;0
180;0
181;1
182;1
183;1
184;1
185;0
186;0
187;0
188;0
189;1
190;1
191;0
192;4
193;5
194;7
195;4
196;1
197;2
198;3
199;1
200;1
201;3
202;1
203;0
204;0
205;1
206;0
207;1
208;3
209;4
210;1
211;2
212;2
213;2
214;3
215;2
216;0
217;3
218;2
219;3
220;2
221;2
222;0
223;0
224;1
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;1
248;0
249;0
250;0
251;0
252;0
253;0
254;0
255;0
256;0
257;0
258;0
259;1
260;1
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;6
273;2
274;3
275;5
276;2
277;1
278;0
279;1
280;1
281;0
282;0
283;0
284;1
285;0
286;0
287;1
288;0
289;6
290;0
291;1
292;0
293;0
294;1
295;1
296;0
297;1
298;0
299;3
300;0
301;0
302;1
303;1
304;1
305;3
306;1
307;1
308;0
309;2
310;2
311;1
312;0
313;0
314;0
315;1
316;1
317;1
318;0
319;0
320;2
321;1
322;1
323;1
324;0
325;0
326;0
327;0
328;1
329;1
330;1
331;2
332;1
333;0
334;0
335;0
336;4
337;4
338;4
339;3
340;2
341;3
342;1
343;2
344;0
345;1
346;0
347;1
348;0
349;1
350;0
351;2
352;5
353;3
354;3
355;6
356;2
357;1
358;2
359;1
360;1
361;1
362;1
363;3
364;1
365;0
366;1
367;0
368;0
369;0
370;1
371;1
372;1
373;0
374;1
375;0
376;0
377;0
378;2
379;1
380;0
381;0
382;0
383;0
384;1
385;0
386;0
387;0
388;1
389;0
390;1
391;0
392;0
393;0
394;1
395;0
396;0
397;0
398;0
399;0
400;0
401;1
402;0
403;0
404;1
405;2
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;1
424;0
425;2
426;0
427;0
428;0
429;1
430;0
431;0
432;0
433;0
434;1
435;0
436;0
437;1
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;1
467;0
468;0
469;0
470;1
471;0
472;0
473;0
474;0
475;0
476;0
477;1
478;1
479;1
480;2
481;4
482;6
483;7
484;4
485;0
486;6
487;1
488;4
489;1
490;3
491;2
492;0
493;1
494;0
495;1
496;2
497;4
498;1
499;0
500;1
501;3
502;3
503;2
504;0
505;1
506;3
507;1
508;0
509;2
510;1
511;2
512;2
513;2
514;2
515;0
516;0
517;1
518;0
519;0
520;0
521;1
522;1
523;0
524;1
525;1
526;0
527;0
528;1
529;0
530;2
531;0
532;1
533;0
534;0
535;1
536;2
537;0
538;0
539;0
540;0
541;0
542;0
543;0
544;1
545;2
546;6
547;5
548;1
549;1
550;0
551;0
552;0
553;1
554;0
555;0
556;3
557;1
558;0
559;0
560;0
561;0
562;2
563;1
564;3
565;1
566;3
567;0
568;2
569;1
570;2
571;2
572;0
573;1
574;2
575;1
576;1
577;1
578;1
579;0
580;2
581;1
582;3
583;1
584;0
585;1
586;0
587;0
588;0
589;1
590;1
591;1
592;0
593;0
594;3
595;2
596;0
597;0
598;1
599;3
600;0
601;0
602;0
603;0
604;0
605;0
606;0
607;0
608;0
609;0
610;0
611;0
612;0
613;0
614;0
615;0
616;1
617;1
618;0
619;0
620;0
621;0
622;0
623;0
624;1
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;0
633;0
634;0
635;0
636;1
637;0
638;0
639;0
640;0
641;1
642;0
643;1
644;0
645;1
646;0
647;3
648;0
649;0
650;0
651;0
652;1
653;0
654;1
655;0
656;0
657;0
658;1
659;2
660;0
661;1
662;0
663;2
664;0
665;0
666;0
667;0
668;0
669;2
670;0
671;0
672;0
673;0
674;2
675;0
676;1
677;0
678;0
679;1
680;1
681;0
682;1
683;0
684;0
685;1
686;0
687;0
688;2
689;3
690;1
691;6
692;0
693;2
694;0
695;0
696;1
697;1
698;1
699;1
700;1
701;2
702;2
703;0
704;4
705;1
706;0
707;0
708;1
709;2
710;0
711;1
712;0
713;0
714;0
715;1
716;0
717;0
718;0
719;1
720;2
721;1
722;0
723;2
724;1
725;2
726;2
727;1
728;0
729;0
730;1
731;0
732;0
733;1
734;0
735;1
736;1
737;1
738;2
739;1
740;2
741;0
742;1
743;1
744;1
745;2
746;0
747;1
748;1
749;0
750;0
751;0
752;6
753;8
754;7
755;5
756;3
757;5
758;4
759;3
760;3
761;3
762;2
763;3
764;3
765;1
766;4
767;6
768;3
769;5
770;3
771;4
772;7
773;3
774;7
775;5
776;3
777;3
778;3
779;1
780;1
781;0
782;2
783;2
784;0
785;0
786;0
787;0
788;0
789;0
790;1
791;0
792;0
793;2
794;0
795;0
796;1
797;0
798;0
799;0
800;0
801;0
802;0
803;0
804;0
805;0
806;0
807;1
808;0
809;0
810;0
811;0
